IND02438,4,4
IND28133,2,1
IND07164,3,9
IND30478,4,1
IND24003,4,4
IND08609,4,4
IND14345,3,9
IND16300,2,11
IND27336,2,2
IND41409,3,6
IND01460,3,1
IND07665,3,9
IND13556,2,3
IND20559,4,4
IND12896,4,4
IND18204,4,4
IND43525,3,1
IND21424,2,1
IND40030,3,1
IND22302,2,1
IND24750,3,9
IND08173,4,4
IND21310,3,7
IND24366,3,1
IND06318,4,4
IND22204,2,2
IND41510,2,3
IND02947,4,4
IND21633,4,4
IND41210,4,4
IND17550,3,7
IND30016,3,1
IND31764,4,4
IND21118,3,1
IND13230,2,3
IND23503,3,9
IND23009,4,4
IND16251,3,1
IND31502,3,9
IND38874,4,4
IND04297,2,2
IND29124,3,1
IND40935,4,4
IND0463,3,9
IND19955,3,7
IND29898,2,3
IND38961,4,4
IND44725,4,0
IND02198,4,4
IND24197,3,6
IND01835,3,9
IND09516,3,1
IND40870,4,4
IND21560,4,4
IND25217,3,9
IND37503,4,4
IND15216,3,9
IND21703,3,9
IND25958,4,4
IND30439,2,3
IND32895,2,3
IND36072,3,9
IND43578,3,9
IND30248,4,4
IND38757,3,9
IND26312,2,1
IND0234,3,6
IND18896,2,2
IND06323,2,1
IND09616,3,6
IND05081,2,1
IND20622,3,7
IND24625,3,1
IND34139,3,7
IND11972,3,9
IND08365,3,9
IND30334,3,9
IND36638,4,4
IND10308,3,6
IND35179,4,4
IND09604,3,1
IND04427,4,4
IND16967,2,1
IND34303,2,3
IND37496,3,9
IND10898,3,9
IND36692,3,10
IND19455,3,1
IND27490,4,4
IND17538,3,9
IND24185,4,4
IND36961,2,2
IND02719,3,6
IND05615,3,1
IND09082,3,7
IND24961,4,4
IND27342,3,9
IND27994,3,9
IND10485,3,9
IND16337,2,2
IND07521,4,4
IND10328,4,4
IND32485,3,6
IND34746,3,7
IND36536,3,6
IND06361,3,6
IND12562,2,11
IND22820,3,1
IND27386,4,1
IND39001,4,4
IND04678,3,6
IND23073,3,7
IND30104,3,6
IND15117,2,2
IND38017,2,3
IND06875,4,4
IND21577,2,2
IND26914,3,9
IND15804,4,4
IND40954,4,4
IND35990,3,10
IND37669,4,4
IND36618,2,1
IND05008,3,9
IND03262,3,1
IND11117,3,9
IND28138,4,4
IND37226,4,4
IND0521,3,7
IND13372,4,4
IND17302,3,9
IND17471,4,4
IND0881,2,2
IND32175,3,1
IND39036,4,4
IND04634,4,5
IND19947,3,9
IND02513,3,6
IND14819,2,1
IND18272,4,1
IND05552,3,7
IND18930,3,1
IND21059,3,9
IND30847,4,4
IND37054,2,3
IND01497,4,4
IND09083,2,1
IND02261,3,9
IND16957,2,3
IND17000,4,4
IND44713,3,9
IND21308,3,1
IND16549,4,4
IND16885,4,4
IND0303,4,4
IND09693,3,9
IND15384,2,3
IND23381,3,9
IND26259,4,4
IND14788,3,1
IND44000,3,9
IND14758,2,2
IND20741,3,1
IND21140,2,1
IND26885,2,2
IND06026,3,9
IND10990,3,6
IND28377,4,5
IND10806,4,5
IND03259,3,1
IND03963,2,1
IND04181,4,4
IND31430,3,9
IND31870,3,9
IND44113,4,4
IND02033,3,6
IND34753,4,4
IND35044,4,4
IND17131,4,4
IND29549,3,9
IND06962,4,4
IND08956,3,9
IND23874,2,2
IND28320,3,9
IND43812,4,4
IND02857,4,4
IND09513,3,7
IND33556,4,4
IND38080,4,4
IND43469,3,1
IND13463,3,7
IND42799,2,11
IND44570,2,1
IND33860,3,7
IND39257,2,2
IND28422,3,7
IND12179,3,8
IND16585,3,9
IND25094,3,9
IND18533,2,1
IND30817,2,2
IND06625,4,4
IND17330,2,1
IND26672,3,9
IND16687,2,2
IND19503,4,4
IND41222,2,1
IND07024,2,1
IND07912,3,1
IND28692,4,4
IND29058,3,6
IND43494,4,4
IND30367,2,2
IND08292,3,1
IND27207,4,4
IND16191,4,4
IND0682,4,4
IND28726,2,2
IND05052,3,6
IND31328,2,2
IND01489,3,9
IND06073,4,4
IND30496,4,4
IND41140,2,2
IND08304,4,4
IND12729,2,2
IND20887,4,4
IND35561,3,1
IND42660,2,3
IND24369,2,1
IND13224,3,6
IND14406,2,11
IND34424,3,9
IND27347,3,6
IND35173,4,3
IND38184,2,3
IND40084,4,4
IND06645,3,6
IND13460,3,6
IND29291,3,9
IND42842,3,9
IND10790,4,4
IND36333,4,4
IND09285,4,4
IND04368,2,2
IND16033,3,1
IND18868,4,4
IND17976,3,1
IND31925,2,2
IND0839,3,9
IND36656,2,1
IND38815,2,1
IND05341,3,3
IND20706,2,2
IND29072,3,1
IND37159,3,1
IND13032,3,9
IND19562,3,6
IND29613,2,2
IND08344,3,9
IND24283,3,1
IND44438,2,3
IND30621,3,1
IND36430,3,9
IND0369,3,6
IND02505,2,3
IND36321,3,9
IND38100,3,1
IND13212,4,4
IND25228,4,4
IND35610,3,1
IND41403,3,9
IND44935,2,1
IND09041,3,7
IND27858,3,9
IND20480,2,1
IND0818,3,9
IND10394,2,1
IND28413,3,7
IND28709,2,3
IND07271,3,9
IND07090,3,8
IND30375,2,3
IND19040,3,9
IND30483,4,4
IND40879,4,4
IND41938,3,9
IND07760,3,9
IND03264,2,3
IND06225,4,4
IND35004,4,4
IND25762,2,2
IND23892,4,4
IND31584,3,9
IND43337,3,9
IND12691,4,4
IND15509,4,4
IND24340,4,4
IND32788,3,1
IND03425,2,1
IND05837,3,1
IND35722,3,9
IND23749,3,9
IND048,4,4
IND04733,2,2
IND17963,3,1
IND02462,4,4
IND25050,3,9
IND33895,4,4
IND36409,3,9
IND38328,3,9
IND05005,3,9
IND05284,4,4
IND31191,4,4
IND0636,3,9
IND09913,4,1
IND45004,3,6
IND21604,4,4
IND17722,3,9
IND35333,4,4
IND36557,4,4
IND21834,2,3
IND41907,3,1
IND31120,3,9
IND01918,4,4
IND20772,4,4
IND08699,4,4
IND31644,2,2
IND37098,3,9
IND35544,3,1
IND18627,4,4
IND30769,3,9
IND33187,3,7
IND07254,3,1
IND29466,3,9
IND36017,3,1
IND43579,2,1
IND43393,3,1
IND02895,4,4
IND04984,3,9
IND11607,3,7
IND41347,4,4
IND02676,2,2
IND04698,4,4
IND20375,4,4
IND37284,3,9
IND23482,2,1
IND39285,3,9
IND04237,3,9
IND01864,4,4
IND02500,3,7
IND29143,4,3
IND20937,2,11
IND05507,3,6
IND01,4,5
IND20035,4,4
IND06084,4,4
IND24666,4,4
IND25893,4,5
IND31280,3,7
IND41323,3,9
IND19003,2,1
IND09805,4,4
IND27257,4,1
IND03850,4,4
IND26902,2,11
IND24156,3,9
IND37061,4,4
IND38588,2,3
IND03063,3,9
IND13975,4,4
IND40823,4,4
IND01469,4,4
IND01656,4,4
IND12465,2,2
IND16382,4,1
IND17796,4,0
IND32278,3,1
IND34555,4,5
IND22783,2,1
IND0583,3,1
IND26226,4,4
IND37137,3,1
IND13629,4,4
IND31613,4,4
IND38501,2,1
IND01958,3,9
IND10086,3,9
IND24010,3,1
IND27604,3,6
IND27827,2,1
IND42944,3,1
IND31899,2,3
IND02723,3,9
IND10009,3,6
IND05076,3,1
IND44741,3,1
IND10776,3,7
IND36436,2,2
IND41623,3,9
IND25674,2,11
IND01773,2,1
IND03668,2,1
IND34514,2,11
IND44563,2,1
IND05806,3,1
IND36010,4,1
IND06087,3,7
IND37459,2,11
IND22464,2,3
IND41760,3,8
IND37034,2,3
IND18121,3,1
IND33996,3,1
IND0350,2,11
IND35777,3,6
IND21927,2,3
IND36809,3,9
IND09677,3,6
IND08739,2,3
IND15989,3,7
IND38180,3,9
IND42344,2,2
IND08064,4,4
IND37269,3,1
IND42385,3,6
IND05142,2,1
IND36170,4,0
IND36678,4,4
IND05300,4,4
IND36918,2,2
IND15685,4,4
IND18291,3,1
IND39292,2,2
IND16653,3,9
IND23120,4,4
IND30329,3,9
IND02012,3,6
IND14328,2,1
IND19845,4,4
IND27485,4,4
IND06978,4,4
IND20346,2,1
IND26050,2,1
IND12047,4,4
IND23467,3,7
IND05879,3,1
IND32980,3,9
IND04065,4,4
IND08523,2,1
IND18383,2,1
IND10597,2,3
IND21832,3,9
IND42704,4,4
IND24889,3,7
IND42455,3,1
IND13842,2,2
IND21827,2,1
IND33940,4,4
IND35104,4,4
IND12113,3,6
IND19427,3,6
IND37240,2,1
IND42009,2,1
IND05309,2,3
IND25359,4,4
IND06000,4,4
IND24351,3,7
IND07890,2,2
IND08028,4,4
IND24567,3,9
IND43807,3,1
IND17425,2,2
IND19288,3,6
IND17008,2,2
IND15254,3,1
IND10863,3,9
IND22262,3,7
IND34043,2,1
IND31522,3,9
IND24223,4,4
IND36904,3,9
IND10536,2,1
IND25101,3,6
IND17067,4,4
IND22772,4,5
IND23388,4,4
IND37431,3,3
IND38560,3,9
IND13288,2,1
IND32351,3,6
IND26529,4,4
IND01418,3,9
IND04738,3,9
IND40609,2,3
IND27440,2,3
IND05665,3,9
IND44483,3,1
IND01324,3,1
IND02691,2,2
IND30703,2,11
IND09106,4,3
IND05801,3,9
IND14500,3,6
IND33314,2,1
